#,Visible?,Starred?,Identified Proteins (1591),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,5848 - #1 - Exp,5848 - #2 - Exp,5848 - #3 - Exp,5848 - #4 - Exp
550,TRUE,Empty,Trypsin-1 OS=Homo sapiens OX=9606 GN=PRSS1 PE=1 SV=1,sp|P07477|TRY1_HUMAN,,27 kDa,TRUE,unknown,5,2,0,3
567,TRUE,Empty,40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1,sp|P60866|RS20_HUMAN,,13 kDa,,unknown,5,11,0,2
568,TRUE,Empty,Collagen alpha-2(IV) chain OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=4,sp|P08572|CO4A2_HUMAN,,168 kDa,TRUE,unknown,5,0,0,6
601,TRUE,Empty,Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,sp|P84090|ERH_HUMAN,,12 kDa,,unknown,5,4,1,5
605,TRUE,Empty,Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3,sp|Q15003|CND2_HUMAN,,83 kDa,,unknown,5,8,0,2
630,TRUE,Empty,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens OX=9606 GN=SEC61A1 PE=1 SV=2,sp|P61619|S61A1_HUMAN (+1),,52 kDa,,unknown,5,3,1,6
646,TRUE,Empty,Zinc finger MYM-type protein 2 OS=Homo sapiens OX=9606 GN=ZMYM2 PE=1 SV=1,sp|Q9UBW7|ZMYM2_HUMAN,,155 kDa,TRUE,unknown,5,0,0,6
661,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,sp|P23284|PPIB_HUMAN,,24 kDa,,unknown,5,4,0,4
665,TRUE,Empty,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,sp|P55060|XPO2_HUMAN,,110 kDa,,unknown,5,5,0,2
677,TRUE,Empty,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3,sp|Q9Y6G9|DC1L1_HUMAN,,57 kDa,TRUE,unknown,5,7,0,0
683,TRUE,Empty,SUN domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUN2 PE=1 SV=3,sp|Q9UH99|SUN2_HUMAN,,80 kDa,TRUE,unknown,5,0,0,7
691,TRUE,Empty,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Homo sapiens OX=9606 GN=SMARCD1 PE=1 SV=2,sp|Q96GM5|SMRD1_HUMAN,,58 kDa,TRUE,unknown,5,1,1,1
695,TRUE,Empty,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens OX=9606 GN=GNAS PE=1 SV=2,sp|Q5JWF2|GNAS1_HUMAN,,111 kDa,TRUE,unknown,5,4,0,3
727,TRUE,Empty,Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1,sp|O60684|IMA7_HUMAN,,60 kDa,,unknown,5,2,2,2
750,TRUE,Empty,Quinone oxidoreductase PIG3 OS=Homo sapiens OX=9606 GN=TP53I3 PE=1 SV=2,sp|Q53FA7|QORX_HUMAN,,36 kDa,,unknown,5,6,0,0
782,TRUE,Empty,Myosin light chain 4 OS=Homo sapiens OX=9606 GN=MYL4 PE=1 SV=3,sp|P12829|MYL4_HUMAN (+2),,22 kDa,TRUE,unknown,5,6,0,0
784,TRUE,Empty,Phosphatidylinositol-3-phosphatase SAC1 OS=Homo sapiens OX=9606 GN=SACM1L PE=1 SV=2,sp|Q9NTJ5|SAC1_HUMAN (+1),,67 kDa,,unknown,5,6,0,0
805,TRUE,Empty,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Homo sapiens OX=9606 GN=PIP4K2C PE=1 SV=3,sp|Q8TBX8|PI42C_HUMAN,,47 kDa,,unknown,5,3,0,1
813,TRUE,Empty,General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=2,sp|Q9Y5Q8|TF3C5_HUMAN (+1),,60 kDa,,unknown,5,0,0,2
818,TRUE,Empty,Squalene synthase OS=Homo sapiens OX=9606 GN=FDFT1 PE=1 SV=1,tr|A0A1W2PQ47|A0A1W2PQ47_HUMAN,,54 kDa,,unknown,5,4,0,0
821,TRUE,Empty,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5,sp|Q13724|MOGS_HUMAN,,92 kDa,,unknown,5,3,0,0
829,TRUE,Empty,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1,sp|O00743|PPP6_HUMAN,,35 kDa,,unknown,5,4,0,0
830,TRUE,Empty,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2",sp|P61604|CH10_HUMAN,,11 kDa,TRUE,unknown,5,5,0,0
838,TRUE,Empty,sp|CAS2_BOVIN|,sp|CAS2_BOVIN|,,26 kDa,,unknown,5,0,0,1
880,TRUE,Empty,sp|CASB_BOVIN|,sp|CASB_BOVIN|,,25 kDa,,unknown,5,0,0,2
925,TRUE,Empty,Protein quaking OS=Homo sapiens OX=9606 GN=QKI PE=1 SV=1,sp|Q96PU8|QKI_HUMAN,,38 kDa,,unknown,5,2,1,0
932,TRUE,Empty,DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2,sp|P28340|DPOD1_HUMAN (+2),,124 kDa,,unknown,5,1,0,0
974,TRUE,Empty,Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1,sp|Q6NZI2|CAVN1_HUMAN,,43 kDa,,unknown,5,0,0,0
989,TRUE,Empty,Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1,tr|E7EVA0|E7EVA0_HUMAN,,245 kDa,,unknown,5,1,0,0
994,TRUE,Empty,2-phospho-D-glycerate hydro-lyase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1,tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN,,47 kDa,,unknown,5,2,0,0
998,TRUE,Empty,Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,sp|Q15691|MARE1_HUMAN,,30 kDa,,unknown,5,2,0,0
1032,TRUE,Empty,Centrosomal protein of 70 kDa OS=Homo sapiens OX=9606 GN=CEP70 PE=1 SV=2,sp|Q8NHQ1|CEP70_HUMAN,,70 kDa,,unknown,5,0,0,0
1097,TRUE,Empty,Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3,sp|Q01105|SET_HUMAN,,33 kDa,TRUE,unknown,5,1,0,0
1098,TRUE,Empty,Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1,tr|A0A0G2JIS2|A0A0G2JIS2_HUMAN,,129 kDa,,unknown,5,0,0,0
1103,TRUE,Empty,Unconventional myosin-IXb OS=Homo sapiens OX=9606 GN=MYO9B PE=1 SV=3,sp|Q13459|MYO9B_HUMAN,,243 kDa,,unknown,5,0,0,0
1110,TRUE,Empty,"Atypical kinase COQ8B, mitochondrial OS=Homo sapiens OX=9606 GN=COQ8B PE=1 SV=2",sp|Q96D53|COQ8B_HUMAN,,60 kDa,,unknown,5,0,0,0
1114,TRUE,Empty,Runt-related transcription factor 1 OS=Homo sapiens OX=9606 GN=RUNX1 PE=1 SV=3,sp|Q01196|RUNX1_HUMAN,,49 kDa,,unknown,5,0,0,0
1123,TRUE,Empty,Prostaglandin reductase 3 OS=Homo sapiens OX=9606 GN=ZADH2 PE=1 SV=1,sp|Q8N4Q0|PTGR3_HUMAN,,40 kDa,,unknown,5,0,0,0
1180,TRUE,Empty,"FAST kinase domain-containing protein 5, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD5 PE=1 SV=1",sp|Q7L8L6|FAKD5_HUMAN,,87 kDa,,unknown,5,0,0,0
1185,TRUE,Empty,DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens OX=9606 GN=POLR1A PE=1 SV=2,sp|O95602|RPA1_HUMAN (+1),,195 kDa,,unknown,5,0,0,0
1194,TRUE,Empty,PHD finger-like domain-containing protein 5A OS=Homo sapiens OX=9606 GN=PHF5A PE=1 SV=1,sp|Q7RTV0|PHF5A_HUMAN,,12 kDa,,unknown,5,0,0,0
1208,TRUE,Empty,Extracellular glycoprotein lacritin OS=Homo sapiens OX=9606 GN=LACRT PE=1 SV=1,sp|Q9GZZ8|LACRT_HUMAN,,14 kDa,,unknown,5,0,0,0
1212,TRUE,Empty,Schlafen family member 11 OS=Homo sapiens OX=9606 GN=SLFN11 PE=1 SV=2,sp|Q7Z7L1|SLN11_HUMAN,,103 kDa,TRUE,unknown,5,0,0,0
1217,TRUE,Empty,PR domain zinc finger protein 12 OS=Homo sapiens OX=9606 GN=PRDM12 PE=1 SV=2,sp|Q9H4Q4|PRD12_HUMAN,,40 kDa,,unknown,5,0,0,0
1218,TRUE,Empty,F-box/WD repeat-containing protein 11 OS=Homo sapiens OX=9606 GN=FBXW11 PE=1 SV=1,sp|Q9UKB1|FBW1B_HUMAN,,62 kDa,TRUE,unknown,5,0,0,0
25,TRUE,Empty,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,sp|Q9BVA1|TBB2B_HUMAN,,50 kDa,TRUE,unknown,4,3,1,4
53,TRUE,Empty,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1,tr|B2R5W2|B2R5W2_HUMAN,,32 kDa,TRUE,unknown,4,1,0,1
109,TRUE,Empty,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",sp|Q04695|K1C17_HUMAN,,48 kDa,TRUE,unknown,4,28,0,3
121,TRUE,Empty,RNA helicase OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=1,tr|A0A5H1ZRQ2|A0A5H1ZRQ2_HUMAN,,80 kDa,TRUE,unknown,4,0,32,18
141,TRUE,Empty,RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,sp|Q9UKM9|RALY_HUMAN,,32 kDa,TRUE,unknown,4,0,2,1
154,TRUE,Empty,Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4,sp|P29144|TPP2_HUMAN,,138 kDa,,unknown,4,71,0,0
313,TRUE,Empty,Collagen alpha-1(IV) chain OS=Homo sapiens OX=9606 GN=COL4A1 PE=1 SV=4,sp|P02462|CO4A1_HUMAN,,161 kDa,TRUE,unknown,4,5,0,13
319,TRUE,Empty,Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,sp|Q9NYL9|TMOD3_HUMAN,,40 kDa,TRUE,unknown,4,31,0,0
325,TRUE,Empty,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,sp|P11717|MPRI_HUMAN,,274 kDa,,unknown,4,0,1,24
370,TRUE,Empty,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,sp|Q15366|PCBP2_HUMAN (+2),,39 kDa,TRUE,unknown,4,4,3,5
371,TRUE,Empty,DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,sp|P33993|MCM7_HUMAN,,81 kDa,TRUE,unknown,4,15,2,7
373,TRUE,Empty,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2",sp|P54136|SYRC_HUMAN,,75 kDa,,unknown,4,24,0,1
374,TRUE,Empty,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,sp|Q92945|FUBP2_HUMAN,,73 kDa,TRUE,unknown,4,0,20,3
398,TRUE,Empty,DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1,tr|A0A3B3IT92|A0A3B3IT92_HUMAN,,101 kDa,,unknown,4,19,3,1
419,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,sp|Q13347|EIF3I_HUMAN,,37 kDa,,unknown,4,24,0,0
446,TRUE,Empty,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,sp|P53396|ACLY_HUMAN,,121 kDa,,unknown,4,18,0,0
458,TRUE,Empty,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,sp|P05388|RLA0_HUMAN,,34 kDa,,unknown,4,0,3,13
469,TRUE,Empty,Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1,sp|Q16576|RBBP7_HUMAN (+1),,48 kDa,TRUE,unknown,4,1,0,0
475,TRUE,Empty,Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2,sp|Q9BQ52|RNZ2_HUMAN (+1),,92 kDa,,unknown,4,3,0,12
508,TRUE,Empty,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1,sp|P10644|KAP0_HUMAN,,43 kDa,,unknown,4,14,0,0
514,TRUE,Empty,40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2,sp|P62841|RS15_HUMAN,,17 kDa,,unknown,4,11,0,4
530,TRUE,Empty,Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1,sp|Q5D862|FILA2_HUMAN,,248 kDa,,unknown,4,9,0,3
539,TRUE,Empty,Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7,sp|P08123|CO1A2_HUMAN (+1),,129 kDa,,unknown,4,4,0,0
541,TRUE,Empty,14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,sp|P61981|1433G_HUMAN,,28 kDa,TRUE,unknown,4,5,0,0
551,TRUE,Empty,Histone deacetylase 1 OS=Homo sapiens OX=9606 GN=HDAC1 PE=1 SV=1,sp|Q13547|HDAC1_HUMAN,,55 kDa,TRUE,unknown,4,1,0,1
554,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=2,sp|P48556|PSMD8_HUMAN,,40 kDa,,unknown,4,11,0,0
558,TRUE,Empty,Cellular nucleic acid-binding protein OS=Homo sapiens OX=9606 GN=CNBP PE=1 SV=1,sp|P62633|CNBP_HUMAN,,19 kDa,,unknown,4,14,0,0
562,TRUE,Empty,40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3,sp|P62266|RS23_HUMAN,,16 kDa,,unknown,4,7,1,5
572,TRUE,Empty,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,sp|P60900|PSA6_HUMAN,,27 kDa,,unknown,4,11,0,0
580,TRUE,Empty,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1,tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN,,26 kDa,,unknown,4,1,2,8
582,TRUE,Empty,60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,sp|P62913|RL11_HUMAN,,20 kDa,,unknown,4,1,2,7
594,TRUE,Empty,Myosin light chain 6B OS=Homo sapiens OX=9606 GN=MYL6B PE=1 SV=1,sp|P14649|MYL6B_HUMAN,,23 kDa,TRUE,unknown,4,9,0,0
602,TRUE,Empty,Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,sp|P84103|SRSF3_HUMAN,,19 kDa,TRUE,unknown,4,2,1,4
651,TRUE,Empty,Protein phosphatase 1B OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1,sp|O75688|PPM1B_HUMAN,,53 kDa,,unknown,4,9,0,0
652,TRUE,Empty,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,sp|P25787|PSA2_HUMAN (+1),,26 kDa,,unknown,4,11,0,0
664,TRUE,Empty,Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1,sp|Q13501|SQSTM_HUMAN,,48 kDa,,unknown,4,7,0,1
666,TRUE,Empty,Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,sp|Q8WXF1|PSPC1_HUMAN,,59 kDa,TRUE,unknown,4,0,5,1
668,TRUE,Empty,Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2,sp|Q16181|SEPT7_HUMAN (+3),,51 kDa,TRUE,unknown,4,2,0,2
678,TRUE,Empty,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,sp|Q9UHB6|LIMA1_HUMAN,,85 kDa,,unknown,4,7,0,0
696,TRUE,Empty,Double-strand-break repair protein rad21 homolog OS=Homo sapiens OX=9606 GN=RAD21 PE=1 SV=2,sp|O60216|RAD21_HUMAN,,72 kDa,TRUE,unknown,4,0,3,4
707,TRUE,Empty,*REV*Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,r-sp|Q13595|TRA2A_HUMAN,,33 kDa,TRUE,unknown,4,0,1,0
709,TRUE,Empty,Protein FAM98B OS=Homo sapiens OX=9606 GN=FAM98B PE=1 SV=2,sp|Q52LJ0|FA98B_HUMAN,,46 kDa,TRUE,unknown,4,6,0,0
728,TRUE,Empty,Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1,sp|P62306|RUXF_HUMAN,,10 kDa,,unknown,4,3,3,1
729,TRUE,Empty,60S ribosomal protein L38 OS=Homo sapiens OX=9606 GN=RPL38 PE=1 SV=2,sp|P63173|RL38_HUMAN,,8 kDa,,unknown,4,3,2,2
732,TRUE,Empty,Histone-lysine N-methyltransferase EHMT1 OS=Homo sapiens OX=9606 GN=EHMT1 PE=1 SV=4,sp|Q9H9B1|EHMT1_HUMAN,,141 kDa,,unknown,4,0,2,2
735,TRUE,Empty,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 OS=Homo sapiens OX=9606 GN=SMARCAD1 PE=1 SV=2,sp|Q9H4L7|SMRCD_HUMAN,,117 kDa,,unknown,4,4,0,3
739,TRUE,Empty,Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1,sp|Q16629|SRSF7_HUMAN (+1),,27 kDa,TRUE,unknown,4,1,0,7
768,TRUE,Empty,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",sp|P36957|ODO2_HUMAN,,49 kDa,,unknown,4,4,0,3
769,TRUE,Empty,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=2",sp|O43837|IDH3B_HUMAN (+1),,42 kDa,,unknown,4,5,0,2
770,TRUE,Empty,Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1,sp|O00483|NDUA4_HUMAN,,9 kDa,,unknown,4,3,0,1
775,TRUE,Empty,Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,sp|P57740|NU107_HUMAN,,106 kDa,,unknown,4,0,0,5
783,TRUE,Empty,40S ribosomal protein S21 OS=Homo sapiens OX=9606 GN=RPS21 PE=1 SV=1,sp|P63220|RS21_HUMAN (+1),,9 kDa,,unknown,4,7,0,0
796,TRUE,Empty,60S ribosomal protein L30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2,sp|P62888|RL30_HUMAN,,13 kDa,,unknown,4,1,1,2
797,TRUE,Empty,tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2,sp|Q7L0Y3|TM10C_HUMAN,,47 kDa,,unknown,4,1,0,4
799,TRUE,Empty,Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3,sp|Q13895|BYST_HUMAN,,50 kDa,TRUE,unknown,4,5,0,1
801,TRUE,Empty,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,tr|A6NEM2|A6NEM2_HUMAN,,213 kDa,,unknown,4,0,1,1
804,TRUE,Empty,Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1,tr|E7EU96|E7EU96_HUMAN,,45 kDa,TRUE,unknown,4,5,0,1
816,TRUE,Empty,"Glycine amidinotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GATM PE=1 SV=1",sp|P50440|GATM_HUMAN (+1),,48 kDa,,unknown,4,4,0,0
817,TRUE,Empty,Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=1,tr|E9PGC8|E9PGC8_HUMAN,,331 kDa,TRUE,unknown,4,0,0,0
823,TRUE,Empty,Protein NipSnap homolog 2 OS=Homo sapiens OX=9606 GN=NIPSNAP2 PE=1 SV=1,sp|O75323|NIPS2_HUMAN,,34 kDa,TRUE,unknown,4,4,0,0
825,TRUE,Empty,Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2,sp|P49321|NASP_HUMAN,,85 kDa,,unknown,4,6,0,0
860,TRUE,Empty,Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,sp|P12004|PCNA_HUMAN,,29 kDa,,unknown,4,2,1,0
869,TRUE,Empty,Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,sp|Q92900|RENT1_HUMAN,,124 kDa,,unknown,4,0,0,0
881,TRUE,Empty,Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3,sp|O43264|ZW10_HUMAN,,89 kDa,,unknown,4,4,0,0
915,TRUE,Empty,Nesprin-3 OS=Homo sapiens OX=9606 GN=SYNE3 PE=1 SV=2,sp|Q6ZMZ3|SYNE3_HUMAN,,112 kDa,,unknown,4,1,1,2
920,TRUE,Empty,sp|CYC_HUMAN|,sp|CYC_HUMAN| (+2),,12 kDa,,unknown,4,3,0,1
926,TRUE,Empty,Pituitary homeobox 3 OS=Homo sapiens OX=9606 GN=PITX3 PE=1 SV=1,sp|O75364|PITX3_HUMAN,,32 kDa,TRUE,unknown,4,1,1,0
947,TRUE,Empty,"GTPase Era, mitochondrial OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=2",sp|O75616|ERAL1_HUMAN,,48 kDa,,unknown,4,0,0,2
950,TRUE,Empty,Pyrroline-5-carboxylate reductase OS=Homo sapiens OX=9606 PE=3 SV=1,tr|J3KR12|J3KR12_HUMAN,,37 kDa,TRUE,unknown,4,0,0,4
955,TRUE,Empty,Dynein light chain Tctex-type 1 OS=Homo sapiens OX=9606 GN=DYNLT1 PE=1 SV=1,sp|P63172|DYLT1_HUMAN,,12 kDa,,unknown,4,4,0,0
956,TRUE,Empty,COUP transcription factor 2 OS=Homo sapiens OX=9606 GN=NR2F2 PE=1 SV=1,sp|P24468|COT2_HUMAN,,46 kDa,TRUE,unknown,4,0,0,3
982,TRUE,Empty,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3",sp|O60313|OPA1_HUMAN (+3),,112 kDa,,unknown,4,1,1,1
991,TRUE,Empty,Obscurin-like protein 1 OS=Homo sapiens OX=9606 GN=OBSL1 PE=1 SV=4,sp|O75147|OBSL1_HUMAN,,207 kDa,,unknown,4,0,0,0
1001,TRUE,Empty,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,sp|A5YKK6|CNOT1_HUMAN,,267 kDa,,unknown,4,0,0,3
1023,TRUE,Empty,E1A-binding protein p400 OS=Homo sapiens OX=9606 GN=EP400 PE=1 SV=4,sp|Q96L91|EP400_HUMAN,,343 kDa,,unknown,4,0,0,0
1047,TRUE,Empty,Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3,sp|O15260|SURF4_HUMAN,,30 kDa,,unknown,4,1,0,1
1056,TRUE,Empty,Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2,sp|P13674|P4HA1_HUMAN,,61 kDa,,unknown,4,0,0,1
1061,TRUE,Empty,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5,sp|O15084|ANR28_HUMAN,,113 kDa,TRUE,unknown,4,1,0,0
1068,TRUE,Empty,S-phase kinase-associated protein 1 OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=2,sp|P63208|SKP1_HUMAN (+1),,19 kDa,,unknown,4,2,0,0
1078,TRUE,Empty,Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3,sp|O14579|COPE_HUMAN (+1),,34 kDa,,unknown,4,2,0,0
1086,TRUE,Empty,"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3",sp|P30048|PRDX3_HUMAN,,28 kDa,TRUE,unknown,4,1,0,0
1087,TRUE,Empty,Influenza virus NS1A-binding protein OS=Homo sapiens OX=9606 GN=IVNS1ABP PE=1 SV=3,sp|Q9Y6Y0|NS1BP_HUMAN,,72 kDa,,unknown,4,1,0,0
1091,TRUE,Empty,Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1,sp|P09496|CLCA_HUMAN,,27 kDa,,unknown,4,1,0,0
1107,TRUE,Empty,DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1,sp|P40692|MLH1_HUMAN,,85 kDa,,unknown,4,0,0,0
1117,TRUE,Empty,*REV*SLIT and NTRK-like protein 3 OS=Homo sapiens OX=9606 GN=SLITRK3 PE=1 SV=2,r-sp|O94933|SLIK3_HUMAN,,109 kDa,,unknown,4,0,0,0
1140,TRUE,Empty,Methyl-CpG-binding domain protein 3 OS=Homo sapiens OX=9606 GN=MBD3 PE=1 SV=1,sp|O95983|MBD3_HUMAN,,33 kDa,,unknown,4,1,0,0
1143,TRUE,Empty,La-related protein 1 OS=Homo sapiens OX=9606 GN=LARP1 PE=1 SV=2,sp|Q6PKG0|LARP1_HUMAN,,124 kDa,TRUE,unknown,4,1,0,0
1153,TRUE,Empty,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3",sp|P22695|QCR2_HUMAN,,48 kDa,,unknown,4,0,0,1
1164,TRUE,Empty,Paired amphipathic helix protein Sin3a OS=Homo sapiens OX=9606 GN=SIN3A PE=1 SV=2,sp|Q96ST3|SIN3A_HUMAN,,145 kDa,,unknown,4,0,0,1
